A,B
19,32
20,32
10,27
8,25
7,23
19,32
20,32
9,22
20,32
17,30
20,33
8,26
19,31
19,32
7,31
20,32
12,25
20,32
20,31
7,23
19,33
14,27
19,32
17,30
20,32
11,31
7,18
18,32
19,32
13,29
13,27
14,27
7,20
19,32
20,32
17,30
18,31
7,20
8,31
8,20
20,32
7,19
7,20
13,26
18,32
17,30
19,32
8,21
8,31
20,32
19,32
19,32
19,32
8,31
7,19
18,31
10,30
7,20
18,31
19,32
19,31
17,31
6,20
7,32
19,32
8,25
20,32
20,32
9,22
20,33
11,31
7,27
13,31
19,31
7,20
7,19
19,32
19,31
20,31
20,31
8,31
8,31
18,32
8,21
8,31
19,32
19,32
18,31
20,32
18,32
19,31
19,31
20,32
10,22
8,25
12,25
8,31
6,19
18,31
7,31
20,32
20,32
7,32
8,26
14,28
20,32
17,31
20,33
20,32
19,31
19,31
8,21
19,32
14,27
19,31
8,22
20,32
13,27
19,32
20,31
19,32
19,32
12,25
15,28
8,31
19,31
15,30
10,32
7,31
19,32
14,27
9,27
20,32
15,31
6,19
19,31
19,32
20,31
8,24
20,32
20,33
19,31
20,32
19,32
17,31
7,19
8,31
19,32
9,32
20,32
19,32
20,32
20,32
8,32
12,30
9,31
20,31
7,19
20,32
20,32
9,27
7,20
14,26
18,32
20,32
12,26
9,22
18,31
20,32
18,31
8,21
10,23
17,32
20,32
8,32
13,31
18,32
20,32
8,32
7,29
20,32
19,31
8,21
18,31
19,31
7,19
8,21
20,33
7,20
8,22
7,20
7,31
8,26
20,32
19,32
8,21
14,32
13,29
19,31
19,32
12,24
12,26
21,32
16,30
7,20
18,31
18,32
10,29
7,19
16,29
19,32
18,31
20,32
7,19
19,32
20,31
13,26
7,21
20,32
8,31
10,31
8,20
11,24
7,25
6,19
17,31
8,21
20,32
20,32
14,28
9,31
20,33
20,31
20,32
8,21
7,19
11,31
13,31
10,22
14,31
7,19
20,32
21,33
8,21
7,32
19,31
20,32
10,23
32,19
21,32
7,20
13,31
